"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/VREditor/TransformGizmo/Main.Main","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","0","51","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","0","77","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","0","635","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","0","4","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","0","2","1","0.000000","0","0"
"/PICOXR/Materials/Mat_Neo3Controller.Mat_Neo3Controller","24","0","2","1","0.000000","0","0"
"/PICOXR/Materials/Hand/M_Hand.M_Hand","24","0","4","1","0.000000","0","0"
"/PICOXR/Materials/Hand/M_Raymat.M_Raymat","24","0","6","1","0.000000","0","0"
"/PICOXR/Materials/Mat_Ray.Mat_Ray","24","0","4","1","0.000000","0","0"
"/PICOXR/Materials/Mat_Neo2Controller.Mat_Neo2Controller","24","0","2","1","0.000000","0","0"
"/PICOXR/Materials/Mat_G2Controller.Mat_G2Controller","24","0","2","1","0.000000","0","0"
"/PICOXR/Materials/PICO_4/M_PICO_4_Power.M_PICO_4_Power","24","0","4","1","0.000000","0","0"
"/PICOXR/Materials/Mat_power.Mat_power","24","0","10","1","0.000000","0","0"
"/PICOXR/Materials/Mat_Neo2_Tag_R.Mat_Neo2_Tag_R","24","0","10","1","0.000000","0","0"
"/PICOXR/Materials/Mat_Neo2_Tag_L.Mat_Neo2_Tag_L","24","0","10","1","0.000000","0","0"
"/PICOXR/Materials/PICO_4/M_PICO_4_Controller.M_PICO_4_Controller","24","0","4","1","0.000000","0","0"
"/PICOXR/Materials/PICO_3/M_PICO3.M_PICO3","24","0","4","1","0.000000","0","0"
"/PICOXR/Materials/Hand/M_Outline.M_Outline","24","0","4","1","0.000000","0","0"
"/PICOXR/Materials/G3/Mat_G3_Controller.Mat_G3_Controller","24","0","15","1","0.000000","0","0"
"/PICOXR/Materials/Mat_TouchPoint.Mat_TouchPoint","24","0","15","1","0.000000","0","0"
"/PICOXR/Materials/Hand/M_Ray.M_Ray","24","0","30","1","0.000000","0","0"
"/PICOXR/Materials/Mat_MRC.Mat_MRC","24","0","9","1","0.000000","0","0"
"/PICOXR/Materials/Mat_EyeMask.EyeMask","24","0","8","1","0.000000","0","0"
"/PICOXR/Materials/Mat_Controller.Mat_Controller","24","0","2","1","0.000000","0","0"
"/PICOXR/DevTools/TileVisualizer/Source/M_TileVisualizerLegend.M_TileVisualizerLegend","24","0","9","1","0.000000","0","0"
"/PICOXR/DevTools/TileVisualizer/Source/M_TileVisualizer.M_TileVisualizer","24","0","10","1","0.000000","0","0"
